Name	Package	Protection
android.permission.UPDATE_DOMAIN_VERIFICATION_USER_SELECTION	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.gbase	com.google.android.gsf	2
android.permission.ACCESS_SHARED_LIBRARIES	android	258
com.google.android.gms.permission.BIND_NETWORK_TASK_SERVICE	com.google.android.gms	2
android.permission.MANAGE_WIFI_INTERFACES	android	134217746
com.google.android.googleapps.permission.GOOGLE_AUTH.local	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.orkut	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.print	com.google.android.gsf	2
android.permission.RECEIVE_WAP_PUSH	android	1
android.permission.GET_TOP_ACTIVITY_INFO	android	33554434
com.android.hotspot2.osulogin.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.hotspot2.osulogin	2
com.google.android.gms.auth.authzen.permission.DEVICE_SYNC_FINISHED	com.google.android.gms	2
com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES	com.google.android.gsf	2
com.google.android.deskclock.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.deskclock	2
android.permission.CLEAR_APP_USER_DATA	android	258
com.google.android.xmpp.permission.USE_XMPP_ENDPOINT	com.google.android.gsf	2
android.permission.UPGRADE_RUNTIME_PERMISSIONS	android	2
android.permission.START_REVIEW_PERMISSION_DECISIONS	android	258
android.permission.PROVIDE_TRUST_AGENT	android	18
android.permission.MONITOR_INPUT	android	33554434
android.permission.SET_VOLUME_KEY_LONG_PRESS_LISTENER	android	50
android.permission.BROADCAST_CALLLOG_INFO	com.android.server.telecom	18
com.google.android.gms.chromesync.permission.CONTENT_PROVIDER_ACCESS	com.google.android.gms	2
android.permission.TRIGGER_SHELL_PROFCOLLECT_UPLOAD	android	2
com.google.android.setupdesign.lottieloadinglayout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.carriersetup	2
android.permission.INSTALL_PACKAGES	android	18
android.permission.MANAGE_SOUND_TRIGGER	android	67108882
android.permission.SEND_RESPOND_VIA_MESSAGE	android	18
android.permission.CONTROL_UI_TRACING	android	50
com.google.android.columbus.permission.CONFIGURE_COLUMBUS_GESTURE	com.android.systemui	1026
com.google.android.ims.providers.ACCESS_DATA	com.google.android.ims	
android.permission.BIND_CALL_DIAGNOSTIC_SERVICE	android	2
android.permission.POWER_SAVER	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.doraemon	com.google.android.gsf	
android.permission.ACCESS_FM_RADIO	android	18
com.android.providers.media.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.providers.media	2
android.permission.VIBRATE_ALWAYS_ON	android	2
android.permission.INSTALL_LOCATION_TIME_ZONE_PROVIDER_SERVICE	android	18
android.permission.MANAGE_VOICE_KEYPHRASES	android	18
android.permission.SHUTDOWN	android	67108882
android.permission.CHANGE_COMPONENT_ENABLED_STATE	android	67108882
com.google.android.gms.permission.CHECKIN_NOW	com.google.android.gms	2
android.permission.BIND_QUICK_SETTINGS_TILE	android	2
android.permission.BIND_TV_INPUT	android	18
android.permission.NFC	android	
android.permission.MANAGE_WIFI_NETWORK_SELECTION	android	134217746
android.permission.MODIFY_PARENTAL_CONTROLS	android	18
android.permission.INTERNAL_SYSTEM_WINDOW	android	2
android.permission.BIND_AMBIENT_CONTEXT_DETECTION_SERVICE	android	2
android.permission.PROCESS_PHONE_ACCOUNT_REGISTRATION	com.android.server.telecom	18
android.permission.INSTALL_DPC_PACKAGES	android	67108866
